zone,file,year,topic,topic_confidence
texts_climate_only_Zone2,UNGA49_1994_HND_49_1994_CLIMATE.txt,,1,0.8010846208765507
texts_climate_only_Zone2,UNGA49_1994_KEN_49_1994_CLIMATE.txt,,1,0.6373502091157008
texts_climate_only_Zone2,UNGA49_1994_KHM_49_1994_CLIMATE.txt,,2,0.9492161448920527
texts_climate_only_Zone2,UNGA49_1994_KNA_49_1994_CLIMATE.txt,,0,0.7602117762427061
texts_climate_only_Zone2,UNGA49_1994_LBY_49_1994_CLIMATE.txt,,0,0.80722540045845
texts_climate_only_Zone2,UNGA49_1994_MHL_49_1994_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA49_1994_MLT_49_1994_CLIMATE.txt,,-1,0.19381665000124484
texts_climate_only_Zone2,UNGA49_1994_MMR_49_1994_CLIMATE.txt,,0,0.9022972397088839
texts_climate_only_Zone2,UNGA49_1994_PNG_49_1994_CLIMATE.txt,,-1,0.2872945863333605
texts_climate_only_Zone2,UNGA49_1994_QAT_49_1994_CLIMATE.txt,,0,0.49672785836356453
texts_climate_only_Zone2,UNGA49_1994_SAU_49_1994_CLIMATE.txt,,0,0.5316973933765777
texts_climate_only_Zone2,UNGA49_1994_SLB_49_1994_CLIMATE.txt,,0,0.9339941393329418
texts_climate_only_Zone2,UNGA49_1994_TGO_49_1994_CLIMATE.txt,,1,0.7161504787013845
texts_climate_only_Zone2,UNGA49_1994_TUR_49_1994_CLIMATE.txt,,0,0.5290408369336086
texts_climate_only_Zone2,UNGA49_1994_URY_49_1994_CLIMATE.txt,,0,0.7696905419008611
texts_climate_only_Zone2,UNGA49_1994_VNM_49_1994_CLIMATE.txt,,2,1.0
texts_climate_only_Zone2,UNGA50_1995_ATG_50_1995_CLIMATE.txt,,0,0.7693092917283701
texts_climate_only_Zone2,UNGA50_1995_BFA_50_1995_CLIMATE.txt,,1,0.8227237342866158
texts_climate_only_Zone2,UNGA50_1995_BHS_50_1995_CLIMATE.txt,,0,0.8919037921825295
texts_climate_only_Zone2,UNGA50_1995_BLZ_50_1995_CLIMATE.txt,,0,0.6805408019772456
texts_climate_only_Zone2,UNGA50_1995_BTN_50_1995_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA50_1995_CAN_50_1995_CLIMATE.txt,,1,0.8100805209252336
texts_climate_only_Zone2,UNGA50_1995_CRI_50_1995_CLIMATE.txt,,-1,0.12731409448394623
texts_climate_only_Zone2,UNGA50_1995_ESP_50_1995_CLIMATE.txt,,1,1.0
texts_climate_only_Zone2,UNGA50_1995_FJI_50_1995_CLIMATE.txt,,0,0.8489258347545457
texts_climate_only_Zone2,UNGA50_1995_FSM_50_1995_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA50_1995_GAB_50_1995_CLIMATE.txt,,2,0.5599816400898306
texts_climate_only_Zone2,UNGA50_1995_GBR_50_1995_CLIMATE.txt,,0,0.405541531631608
texts_climate_only_Zone2,UNGA50_1995_GUY_50_1995_CLIMATE.txt,,1,1.0
texts_climate_only_Zone2,UNGA50_1995_HTI_50_1995_CLIMATE.txt,,-1,0.1321826754516627
texts_climate_only_Zone2,UNGA50_1995_ISL_50_1995_CLIMATE.txt,,-1,0.2518405688061434
texts_climate_only_Zone2,UNGA50_1995_JPN_50_1995_CLIMATE.txt,,0,0.9125251198588472
texts_climate_only_Zone2,UNGA50_1995_KNA_50_1995_CLIMATE.txt,,0,0.906240796986571
texts_climate_only_Zone2,UNGA50_1995_LCA_50_1995_CLIMATE.txt,,0,0.6369428137936826
texts_climate_only_Zone2,UNGA50_1995_LUX_50_1995_CLIMATE.txt,,0,0.8135212801735017
texts_climate_only_Zone2,UNGA50_1995_MHL_50_1995_CLIMATE.txt,,0,0.8618364202536793
texts_climate_only_Zone2,UNGA50_1995_MYS_50_1995_CLIMATE.txt,,-1,0.3022594785646952
texts_climate_only_Zone2,UNGA50_1995_OMN_50_1995_CLIMATE.txt,,1,1.0
texts_climate_only_Zone2,UNGA50_1995_PNG_50_1995_CLIMATE.txt,,1,0.7087520218418825
texts_climate_only_Zone2,UNGA50_1995_QAT_50_1995_CLIMATE.txt,,0,0.5368395042662604
texts_climate_only_Zone2,UNGA50_1995_SLB_50_1995_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA50_1995_TGO_50_1995_CLIMATE.txt,,1,0.6049642346418752
texts_climate_only_Zone2,UNGA50_1995_URY_50_1995_CLIMATE.txt,,0,0.7536950933675926
texts_climate_only_Zone2,UNGA50_1995_WSM_50_1995_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA51_1996_ATG_51_1996_CLIMATE.txt,,0,0.6108731814823108
texts_climate_only_Zone2,UNGA51_1996_BEN_51_1996_CLIMATE.txt,,1,0.6182996211993366
texts_climate_only_Zone2,UNGA51_1996_BGD_51_1996_CLIMATE.txt,,1,0.6145921259639917
texts_climate_only_Zone2,UNGA51_1996_BGR_51_1996_CLIMATE.txt,,2,1.0
texts_climate_only_Zone2,UNGA51_1996_BHS_51_1996_CLIMATE.txt,,0,0.4544961304966045
texts_climate_only_Zone2,UNGA51_1996_CAN_51_1996_CLIMATE.txt,,0,0.8512080966967827
texts_climate_only_Zone2,UNGA51_1996_DEU_51_1996_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA51_1996_ECU_51_1996_CLIMATE.txt,,0,0.8953644391202835
texts_climate_only_Zone2,UNGA51_1996_FJI_51_1996_CLIMATE.txt,,0,0.8241234011750791
texts_climate_only_Zone2,UNGA51_1996_FSM_51_1996_CLIMATE.txt,,0,0.7425051382238564
texts_climate_only_Zone2,UNGA51_1996_GBR_51_1996_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA51_1996_JPN_51_1996_CLIMATE.txt,,0,0.9086897286662334
texts_climate_only_Zone2,UNGA51_1996_KNA_51_1996_CLIMATE.txt,,0,0.8653417135199369
texts_climate_only_Zone2,UNGA51_1996_KOR_51_1996_CLIMATE.txt,,-1,0.2172015000163992
texts_climate_only_Zone2,UNGA51_1996_MDG_51_1996_CLIMATE.txt,,1,0.43678745154700194
texts_climate_only_Zone2,UNGA51_1996_MDV_51_1996_CLIMATE.txt,,0,0.7600999811507666
texts_climate_only_Zone2,UNGA51_1996_MHL_51_1996_CLIMATE.txt,,0,0.8443488423623131
texts_climate_only_Zone2,UNGA51_1996_MYS_51_1996_CLIMATE.txt,,0,0.873427570440818
texts_climate_only_Zone2,UNGA51_1996_NOR_51_1996_CLIMATE.txt,,0,0.6276627624906719
texts_climate_only_Zone2,UNGA51_1996_NPL_51_1996_CLIMATE.txt,,0,0.45508197763608943
texts_climate_only_Zone2,UNGA51_1996_PAN_51_1996_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA51_1996_PNG_51_1996_CLIMATE.txt,,0,0.8799900920932628
texts_climate_only_Zone2,UNGA51_1996_PRT_51_1996_CLIMATE.txt,,0,0.788555187922263
texts_climate_only_Zone2,UNGA51_1996_RUS_51_1996_CLIMATE.txt,,2,0.5353724553452103
texts_climate_only_Zone2,UNGA51_1996_SLB_51_1996_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA51_1996_SYC_51_1996_CLIMATE.txt,,0,0.8802651101455994
texts_climate_only_Zone2,UNGA51_1996_USA_51_1996_CLIMATE.txt,,0,0.8728657838043811
